         988
      770000      230022  1.3714723E-02 -0.6549297    
      770000      240023  1.2456029E-02  -1.505835    
      770000      250024  9.0686018E-03   7.184147    
      770000      260025  1.4465923E-02  -9.501501    
      770000      270026  1.7686011E-02  -14.77182    
      770000      280027  2.9712297E-02  -15.07045    
      770000      290028  8.5435122E-02  -15.81612    
      770000      300029  6.4298227E-02  -11.31732    
      770000      310030  0.1047268      -9.338994    
      770000      320031  7.4622475E-02  -4.860101    
      770000      450044  1.5482988E-02  -15.75460    
      770000      460045  8.4059425E-02  -14.93009    
      770000      470046  9.1432363E-02  -7.878623    
      770000      480047  3.7401009E-02  -10.28486    
      770000      490048  0.1459477      -5.734013    
      770000      570056  2.3087516E-02  -17.41851    
      770000      580057  2.4913888E-02  -17.98955    
      770000      590058  2.1647654E-02  -17.42146    
      770000      600059  2.3223596E-02  -26.84984    
      770000      610060  7.0615716E-02  -16.01210    
      770000      340033  1.1943282E-02   1.965005    
      770000      350034  1.1449774E-02  -1.461258    
      770000      360035  1.0254294E-02   1.809812    
      770000      370036  2.0479327E-02  -14.95922    
      770000      380037  1.1664953E-02  -8.734537    
      770000      390038  6.5950982E-02  -18.14583    
      770000      400039  7.3158242E-02  -11.89896    
      770000      410040  8.3587021E-02  -10.41329    
      770000      420041  8.8079408E-02  -7.810114    
      770000      430042  0.1136847      -3.172348    
      770000      510050  1.4750035E-02  -28.32406    
      770000      520051  0.1275344      -12.81858    
      770000      540053  8.6037710E-02  -6.626725    
      770000      550054  0.3770877      -2.681731    
      770000      630062  2.5999013E-02  -17.71438    
      770000      640063  2.3408638E-02  -17.15045    
      770000      650064  2.6502574E-02  -18.73212    
      770000      660065  3.1318486E-02  -31.83581    
      770000      670066  9.5400445E-02  -8.525857    
      780000      230022  1.3140528E-02  -1.125837    
      780000      240023  1.2194968E-02  -2.628526    
      780000      250024  9.6470099E-03   5.892140    
      780000      260025  1.4215166E-02  -9.796850    
      780000      270026  1.7572844E-02  -14.65017    
      780000      280027  2.9141763E-02  -14.90665    
      780000      290028  7.9759009E-02  -16.03251    
      780000      300029  6.2880553E-02  -11.50286    
      780000      310030  0.1139011      -8.776269    
      780000      320031  0.1442544      -5.276766    
      780000      450044  1.4408334E-02  -16.38833    
      780000      460045  7.6986603E-02  -15.26055    
      780000      470046  8.1206016E-02  -8.171247    
      780000      480047  2.9045666E-02  -11.12709    
      780000      490048  8.4701084E-02  -6.543809    
      780000      570056  2.1685895E-02  -17.56214    
      780000      580057  2.3303138E-02  -18.16680    
      780000      590058  2.0046340E-02  -17.61489    
      780000      600059  2.1166150E-02  -26.89294    
      780000      610060  6.2930010E-02  -16.44669    
      780000      340033  1.1688590E-02  0.8222138    
      780000      350034  1.1374333E-02  -2.405164    
      780000      360035  1.0746771E-02   1.240727    
      780000      370036  1.9730940E-02  -15.19035    
      780000      380037  1.2577930E-02  -8.140527    
      780000      390038  6.1759584E-02  -18.37524    
      780000      400039  6.9526687E-02  -12.16935    
      780000      410040  8.6764529E-02  -10.03248    
      780000      420041  0.1057025      -7.052831    
      780000      430042  0.3827082      -4.654918    
      780000      520051  0.1158993      -13.15969    
      780000      540053  5.8836922E-02  -7.093445    
      780000      550054  0.1114774      -3.881904    
      780000      630062  2.4384404E-02  -17.87523    
      780000      640063  2.1808742E-02  -17.34499    
      780000      650064  2.4381943E-02  -18.91543    
      780000      670066  8.4253669E-02  -8.911377    
      860000       20001  1.0133311E-02  -18.97809    
      860000       30002  2.1565109E-02  -22.12239    
      860000       40003  2.2892639E-02  -22.59607    
      860000       50004  8.1064468E-03  -21.93412    
      860000       60005  9.9300267E-03  -21.03237    
      860000       70006  2.0085437E-02  -21.58137    
      860000       80007  2.6853750E-02  -15.88379    
      860000       90008  4.1217003E-03  -1.223822    
      860000       90010  1.2010425E-02  -22.45498    
      860000      100011  7.6773087E-03  -23.19252    
      860000      110012  5.9988429E-03  -17.42188    
      860000      120013  1.0254709E-02  -16.76371    
      860000      130014  6.3541005E-03  -13.08755    
      860000      140015  4.4003506E-03  -13.63540    
      860000      150016  3.9643063E-03  -13.70543    
      860000      160017  3.3626491E-03  -13.02693    
      860000      170018  3.5021424E-03  -11.34227    
      860000      180019  3.8938392E-03  -10.49754    
      860000      190020  3.2425455E-03  -9.028447    
      860000      200021  3.2372309E-03  -8.853450    
      860000      230022  3.7755959E-02  -5.187664    
      860000      240023  4.1178521E-02  -8.031339    
      860000      250024  2.4164502E-02  -13.33107    
      860000      260025  3.1668603E-02  -19.90198    
      860000      260027  2.1834007E-02  -11.50626    
      860000      270028  6.9562294E-02  -18.47774    
      860000      300031  1.2480773E-02  -13.43604    
      860000      310032  5.0144852E-03  -11.15073    
      860000      570056  5.5769213E-02  -22.14743    
      860000      580057  5.4495361E-02  -24.67970    
      860000      590058  2.0946702E-03  -145.3930    
      860000      590060  3.1734627E-02  -52.57117    
      860000      600061  5.0577145E-02  -28.12922    
      860000      340033  3.6319621E-02  -4.604490    
      860000      350034  3.8204242E-02  -9.889235    
      860000      360035  2.2995960E-02  -19.95182    
      860000      370036  2.4901140E-02  -20.10367    
      860000      370038  7.4382633E-02  -12.85959    
      860000      380039  3.1506207E-02  -24.90955    
      860000      400041  1.3591702E-02  -15.19121    
